timestamp,source_ip,protocol,file_type,mime_type,signature,vtpercent
2019-12-21 07:56:41.596000+00:00,175.115.247.157,mssqld,exe,application/x-dosexec,unknown,0.0
2019-12-26 07:12:21.837000+00:00,138.94.84.162,mssqld,rar,application/x-rar,SalatStealer,0.0
2019-12-20 08:38:15.901000+00:00,36.238.39.159,mssqld,jar,application/zip,WeedHack,0.0
2020-01-02 08:50:42.032000+00:00,5.188.86.221,ssh,elf,application/x-executable,Mirai,0.0
2019-12-22 04:12:39.654000+00:00,202.181.227.169,mssqld,jar,application/zip,WeedHack,0.0
2019-12-25 08:08:12.133000+00:00,119.46.176.222,mssqld,apk,application/java-archive,unknown,0.0
2019-12-26 01:37:58.594000+00:00,112.168.172.154,mssqld,apk,application/java-archive,unknown,0.0
2019-12-26 04:53:40.676000+00:00,202.138.242.19,mssqld,apk,application/java-archive,unknown,0.0
2019-12-20 11:01:23.589000+00:00,125.62.194.242,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-02 09:16:47.288000+00:00,218.21.250.162,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 09:11:31.177000+00:00,202.52.240.11,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-22 19:58:55.345000+00:00,5.188.86.206,ssh,elf,application/x-executable,Mirai,0.0
2019-12-26 08:26:25.184000+00:00,202.138.242.19,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 05:21:53.730000+00:00,36.71.238.105,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 12:51:28.355000+00:00,182.160.40.39,mssqld,html,text/html,unknown,0.0
2020-01-03 21:11:59.721000+00:00,128.68.186.253,mssqld,elf,application/x-executable,Gafgyt,0.0
2019-12-21 18:37:47.464000+00:00,5.188.87.58,ssh,elf,application/x-executable,Mirai,0.0
2019-12-20 12:13:59.658000+00:00,202.69.45.22,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-21 15:09:36.638000+00:00,109.226.117.230,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 08:04:23.871000+00:00,42.113.63.193,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-21 00:19:51.589000+00:00,43.251.254.43,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 14:27:06.961000+00:00,202.8.102.37,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 13:06:15.590000+00:00,42.113.63.193,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-26 07:57:02.733000+00:00,202.138.242.19,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-21 02:38:52.351000+00:00,186.88.79.20,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 22:20:37.773000+00:00,37.235.147.61,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 12:58:28.438000+00:00,128.68.186.253,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 17:46:54.054000+00:00,202.60.94.196,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 19:58:50.712000+00:00,202.100.211.228,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-02 07:58:32.147000+00:00,202.179.31.251,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-21 09:44:16.269000+00:00,183.82.96.239,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-26 02:34:42.957000+00:00,170.244.28.252,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-02 03:12:36.082000+00:00,103.247.121.129,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 05:34:37.477000+00:00,36.71.238.105,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-26 20:08:47.579000+00:00,154.127.112.94,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-26 08:20:29.262000+00:00,120.84.12.35,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 16:23:21.003000+00:00,202.164.221.150,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-25 20:30:32.077000+00:00,91.207.211.85,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 13:50:59.858000+00:00,42.113.63.193,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 21:22:28.707000+00:00,182.214.70.230,mssqld,elf,application/x-executable,Mirai,0.0
2020-01-03 07:06:42.750000+00:00,202.52.50.252,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-20 21:25:37.672000+00:00,202.69.45.22,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-21 01:10:09.632000+00:00,43.251.254.43,mssqld,elf,application/x-executable,Mirai,0.0
2019-12-25 07:28:14.985000+00:00,121.31.15.23,mssqld,sh,text/x-shellscript,unknown,0.0
2019-12-25 16:49:22.992000+00:00,121.31.15.23,mssqld,elf,application/x-sharedlib,unknown,0.0
2020-01-02 16:38:53.430000+00:00,122.117.127.195,mssqld,sh,text/plain,unknown,0.0
